iter	Passed	Remaining
885	1895	243
886	1897	241
887	1899	239
888	1901	237
889	1903	235
890	1905	233
891	1907	230
892	1909	228
893	1911	226
894	1914	224
895	1916	222
896	1918	220
897	1920	218
898	1922	215
899	1924	213
900	1926	211
901	1929	209
902	1930	207
903	1932	205
904	1934	203
905	1936	200
906	1938	198
907	1940	196
908	1942	194
909	1944	192
910	1945	190
911	1947	187
912	1949	185
913	1951	183
914	1953	181
915	1955	179
916	1956	177
917	1958	174
918	1960	172
919	1962	170
920	1964	168
921	1966	166
922	1967	164
923	1969	162
924	1971	159
925	1973	157
926	1975	155
927	1977	153
928	1979	151
929	1982	149
930	1983	147
931	1985	144
932	1987	142
933	1989	140
934	1991	138
935	1993	136
936	1995	134
937	1998	132
938	1999	129
939	2002	127
940	2004	125
941	2005	123
942	2007	121
943	2009	119
944	2011	117
945	2013	114
946	2014	112
947	2016	110
948	2018	108
949	2020	106
950	2022	104
951	2023	102
952	2026	99
953	2028	97
954	2030	95
955	2031	93
956	2033	91
957	2036	89
958	2038	87
959	2040	85
960	2042	82
961	2044	80
962	2045	78
963	2047	76
964	2049	74
965	2051	72
966	2054	70
967	2055	67
968	2057	65
969	2059	63
970	2061	61
971	2062	59
972	2065	57
973	2067	55
974	2069	53
975	2071	50
976	2073	48
977	2076	46
978	2078	44
979	2080	42
980	2082	40
981	2084	38
982	2086	36
983	2087	33
984	2089	31
985	2091	29
986	2093	27
987	2096	25
988	2099	23
989	2101	21
990	2103	19
991	2105	16
992	2107	14
993	2108	12
994	2110	10
995	2112	8
996	2114	6
997	2116	4
998	2118	2
999	2119	0
